"","ldf_num","exposureRate","realLabel","targetObjectName","performance"
"417",57,1,"gazzer","2025-600.jpg",FALSE
"418",57,1,"fep","2001-600.jpg",FALSE
"419",57,4,"kreeb","2009-600.jpg",TRUE
"420",57,2,"wug","2005-600.jpg",FALSE
"421",57,4,"toma","2023-600.jpg",TRUE
"422",57,4,"manu","2007-600.jpg",TRUE
"423",57,1,"blicket","2002-600.jpg",FALSE
"424",58,1,"toma","2025-600.jpg",TRUE
"425",58,4,"blicket","2007-600.jpg",TRUE
"426",58,4,"kreeb","2001-600.jpg",TRUE
"427",58,1,"gazzer","2023-600.jpg",TRUE
"428",58,2,"dax","2056-600.jpg",TRUE
"429",58,2,"wug","2005-600.jpg",TRUE
"430",58,2,"kiv","2006-600.jpg",TRUE
"431",58,1,"fep","2009-600.jpg",TRUE
"432",58,4,"manu","2002-600.jpg",TRUE
"433",59,4,"kiv","2002-600.jpg",TRUE
"434",59,1,"gazzer","2056-600.jpg",TRUE
"435",59,4,"dax","2025-600.jpg",TRUE
"436",59,4,"blicket","2009-600.jpg",TRUE
"437",59,2,"toma","2006-600.jpg",TRUE
"438",59,2,"fep","2007-600.jpg",TRUE
"439",59,1,"manu","2023-600.jpg",TRUE
"440",59,1,"wug","2005-600.jpg",FALSE
"441",59,2,"kreeb","2001-600.jpg",TRUE
"442",60,1,"gazzer","2007-600.jpg",TRUE
"443",60,4,"fep","2005-600.jpg",TRUE
"444",60,4,"dax","2025-600.jpg",TRUE
"445",60,2,"manu","2009-600.jpg",TRUE
"446",60,1,"kreeb","2001-600.jpg",TRUE
"447",60,1,"blicket","2056-600.jpg",TRUE
"448",60,2,"toma","2023-600.jpg",TRUE
"449",60,4,"kiv","2006-600.jpg",TRUE
"450",60,2,"wug","2002-600.jpg",TRUE
"451",61,1,"gazzer","2001-600.jpg",TRUE
"452",61,1,"blicket","2002-600.jpg",TRUE
"453",61,4,"dax","2009-600.jpg",TRUE
"454",61,2,"toma","2007-600.jpg",TRUE
"455",61,2,"fep","2056-600.jpg",TRUE
"456",61,2,"wug","2005-600.jpg",TRUE
"457",61,4,"manu","2025-600.jpg",TRUE
"458",61,4,"kreeb","2023-600.jpg",TRUE
"459",61,1,"kiv","2006-600.jpg",TRUE
"460",63,2,"wug","2025-600.jpg",TRUE
"461",63,4,"toma","2056-600.jpg",TRUE
"462",63,1,"fep","2023-600.jpg",TRUE
"463",63,1,"kreeb","2005-600.jpg",TRUE
"464",63,2,"manu","2007-600.jpg",TRUE
"465",63,4,"gazzer","2001-600.jpg",TRUE
"466",63,1,"kiv","2009-600.jpg",FALSE
"467",63,4,"dax","2002-600.jpg",TRUE
"468",63,2,"blicket","2006-600.jpg",TRUE
"469",64,2,"gazzer","2001-600.jpg",TRUE
"470",64,4,"kreeb","2002-600.jpg",TRUE
"471",64,1,"dax","2009-600.jpg",TRUE
"472",64,2,"manu","2006-600.jpg",TRUE
"473",64,4,"fep","2005-600.jpg",TRUE
"474",64,4,"toma","2007-600.jpg",TRUE
"475",64,1,"kiv","2056-600.jpg",TRUE
"476",64,2,"blicket","2025-600.jpg",FALSE
"477",64,1,"wug","2023-600.jpg",FALSE
"478",65,1,"kreeb","2007-600.jpg",FALSE
"479",65,2,"blicket","2002-600.jpg",TRUE
"480",65,2,"gazzer","2005-600.jpg",TRUE
"481",65,1,"fep","2001-600.jpg",FALSE
"482",65,4,"dax","2025-600.jpg",TRUE
"483",65,2,"manu","2006-600.jpg",FALSE
"484",65,4,"toma","2023-600.jpg",TRUE
"485",65,1,"kiv","2056-600.jpg",FALSE
"486",65,4,"wug","2009-600.jpg",TRUE
"487",67,4,"manu","2005-600.jpg",TRUE
"488",67,4,"toma","2025-600.jpg",FALSE
"489",67,1,"gazzer","2023-600.jpg",FALSE
"490",67,4,"blicket","2002-600.jpg",TRUE
"491",67,2,"fep","2001-600.jpg",TRUE
"492",67,2,"kiv","2007-600.jpg",TRUE
"493",67,2,"kreeb","2056-600.jpg",FALSE
"494",67,1,"wug","2006-600.jpg",FALSE
"495",67,1,"dax","2009-600.jpg",FALSE
"496",68,4,"kreeb","2023-600.jpg",TRUE
"497",68,4,"wug","2025-600.jpg",FALSE
"498",68,2,"toma","2009-600.jpg",FALSE
"499",68,2,"manu","2006-600.jpg",FALSE
"500",68,1,"kiv","2005-600.jpg",FALSE
"501",68,1,"fep","2056-600.jpg",TRUE
"502",68,1,"gazzer","2002-600.jpg",FALSE
"503",68,2,"blicket","2001-600.jpg",FALSE
"504",68,4,"dax","2007-600.jpg",FALSE
"505",69,2,"toma","2006-600.jpg",FALSE
"506",69,4,"wug","2023-600.jpg",TRUE
"507",69,1,"kreeb","2056-600.jpg",TRUE
"508",69,2,"gazzer","2002-600.jpg",TRUE
"509",69,2,"manu","2009-600.jpg",TRUE
"510",69,1,"fep","2005-600.jpg",TRUE
"511",69,1,"blicket","2025-600.jpg",TRUE
"512",69,4,"dax","2001-600.jpg",TRUE
"513",69,4,"kiv","2007-600.jpg",TRUE
"514",70,4,"blicket","2001-600.jpg",TRUE
"515",70,4,"gazzer","2025-600.jpg",TRUE
"516",70,2,"dax","2002-600.jpg",TRUE
"517",70,1,"kiv","2056-600.jpg",FALSE
"518",70,1,"manu","2005-600.jpg",TRUE
"519",70,4,"toma","2009-600.jpg",TRUE
"520",70,2,"kreeb","2023-600.jpg",TRUE
"521",70,1,"fep","2007-600.jpg",FALSE
"522",70,2,"wug","2006-600.jpg",TRUE
"523",71,2,"fep","2002-600.jpg",TRUE
"524",71,1,"gazzer","2009-600.jpg",TRUE
"525",71,1,"wug","2025-600.jpg",TRUE
"526",71,4,"dax","2001-600.jpg",TRUE
"527",71,1,"blicket","2005-600.jpg",TRUE
"528",71,2,"kreeb","2006-600.jpg",TRUE
"529",71,4,"kiv","2007-600.jpg",TRUE
"530",71,2,"toma","2056-600.jpg",TRUE
"531",71,4,"manu","2023-600.jpg",TRUE
"532",72,2,"blicket","2023-600.jpg",TRUE
"533",72,1,"gazzer","2056-600.jpg",FALSE
"534",72,2,"manu","2009-600.jpg",FALSE
"535",72,4,"toma","2002-600.jpg",TRUE
"536",72,4,"fep","2005-600.jpg",TRUE
"537",72,1,"kiv","2007-600.jpg",FALSE
"538",72,1,"dax","2006-600.jpg",TRUE
"539",72,4,"kreeb","2001-600.jpg",FALSE
"540",72,2,"wug","2025-600.jpg",TRUE
"541",73,1,"fep","2002-600.jpg",TRUE
