"","ldf_num","exposures","label","known","condition","speechCost","pointCost","partnersExposure"
"137",21,4,"kiv",TRUE,"100_30",0,70,0
"138",21,1,"blicket",TRUE,"100_30",0,70,0
"139",21,1,"wug",FALSE,"100_30",0,70,0
"140",21,4,"manu",TRUE,"100_30",0,70,0
"141",21,2,"gazzer",FALSE,"100_30",0,70,0
"142",21,4,"kreeb",TRUE,"100_30",0,70,0
"143",21,2,"fep",FALSE,"100_30",0,70,0
"144",21,1,"dax",TRUE,"100_30",0,70,0
"145",22,2,"kiv",TRUE,"80_50",20,50,2
"146",22,4,"blicket",TRUE,"80_50",20,50,2
"147",22,2,"wug",TRUE,"80_50",20,50,2
"148",22,2,"dax",TRUE,"80_50",20,50,2
"149",22,4,"manu",TRUE,"80_50",20,50,2
"150",22,1,"fep",TRUE,"80_50",20,50,2
"151",22,1,"kreeb",TRUE,"80_50",20,50,2
"152",22,4,"toma",TRUE,"80_50",20,50,2
"153",22,1,"gazzer",TRUE,"80_50",20,50,2
"154",23,1,"wug",TRUE,"100_30",0,70,2
"155",23,1,"gazzer",TRUE,"100_30",0,70,2
"156",23,4,"blicket",TRUE,"100_30",0,70,2
"157",23,2,"fep",TRUE,"100_30",0,70,2
"158",23,2,"kreeb",TRUE,"100_30",0,70,2
"159",23,2,"manu",TRUE,"100_30",0,70,2
"160",23,1,"dax",TRUE,"100_30",0,70,2
"161",23,4,"toma",TRUE,"100_30",0,70,2
"162",23,4,"kiv",TRUE,"100_30",0,70,2
"163",25,1,"kiv",TRUE,"80_50",20,50,0.5
"164",25,2,"toma",TRUE,"80_50",20,50,0.5
"165",25,4,"manu",TRUE,"80_50",20,50,0.5
"166",25,2,"dax",FALSE,"80_50",20,50,0.5
"167",25,4,"blicket",TRUE,"80_50",20,50,0.5
"168",25,4,"wug",TRUE,"80_50",20,50,0.5
"169",25,1,"fep",FALSE,"80_50",20,50,0.5
"170",25,1,"gazzer",FALSE,"80_50",20,50,0.5
"171",25,2,"kreeb",FALSE,"80_50",20,50,0.5
"172",26,4,"manu",TRUE,"100_30",0,70,2
"173",26,1,"blicket",TRUE,"100_30",0,70,2
"174",26,1,"gazzer",TRUE,"100_30",0,70,2
"175",26,1,"wug",FALSE,"100_30",0,70,2
"176",26,2,"fep",TRUE,"100_30",0,70,2
"177",26,2,"kreeb",FALSE,"100_30",0,70,2
"178",26,4,"kiv",TRUE,"100_30",0,70,2
"179",26,4,"dax",TRUE,"100_30",0,70,2
"180",26,2,"toma",TRUE,"100_30",0,70,2
"181",27,4,"wug",TRUE,"80_50",20,50,2
"182",27,1,"kreeb",FALSE,"80_50",20,50,2
"183",27,1,"blicket",FALSE,"80_50",20,50,2
"184",27,1,"toma",FALSE,"80_50",20,50,2
"185",27,4,"gazzer",TRUE,"80_50",20,50,2
"186",27,2,"kiv",TRUE,"80_50",20,50,2
"187",27,2,"dax",FALSE,"80_50",20,50,2
"188",27,4,"manu",TRUE,"80_50",20,50,2
"189",27,2,"fep",TRUE,"80_50",20,50,2
"190",28,2,"manu",TRUE,"100_30",0,70,0.5
"191",28,4,"gazzer",TRUE,"100_30",0,70,0.5
"192",28,4,"kreeb",TRUE,"100_30",0,70,0.5
"193",28,4,"fep",TRUE,"100_30",0,70,0.5
"194",28,1,"wug",FALSE,"100_30",0,70,0.5
"195",28,1,"dax",FALSE,"100_30",0,70,0.5
"196",28,2,"toma",TRUE,"100_30",0,70,0.5
"197",28,2,"kiv",FALSE,"100_30",0,70,0.5
"198",28,1,"blicket",FALSE,"100_30",0,70,0.5
